acorn_out1.png,"smooth shell, tree nut, bumpy cap, white meat, animal food, |oak trees, squirrels, deer, forests, autumn, cold weather, winter is coming"
acorn_out1.png,"organic, acorn, stalk, cap, nut, stylus, embryo, cotyledons, edible, hard|harvest, autumn, Native American, food processing, oak tree, squirrel, chipmunk"
acorn_out1.png,"acorn, rounded shape, smooth bottom, rough top, from a tree, seed|autumn, squirrels, acorn trees, preparation for winter, new trees, crisp air"
acorn_out1.png,"grey, small, decorative, painted, distressed look, nature, grows in the forest|nicely colored, great for decorating, great fall looks, home decor"
acorn_out1.png,"small acorn, the cap is rough and brown, the bottom smooth and lighter in color |Used to have acorn fights when I was a kid, now they just collected and fed to the ducks"
acorn_out1.png,"SMALL NUT, SMOOTH BASE, ROUGH TOP, SHORT STALK, LIGHT IN COLOR|SQUIRRELS, HIBERNATION, RAKING THE YARD, THROWING AT FRIENDS, EATING NUTS"
acorn_out1.png,"acorn, nut, seed, from an oak tree, oak seed, food|squirrel, oak tree, Jumpy Squirrel, food, craft material, tree, seed"
acorn_out1.png,"acorn, acorn hat, stem, came from a tree, ground, hard|found on the ground when the trees die, squirrels collect acorn"
africanelephant_out1.png,"white ivory tusks, large feet, long trunk, large floppy ears, tall, gray|Africa, zoo, circus, endangered, ivory trade, intelligent creature, strong, temperamental"
africanelephant_out1.png,"organic, animal, chordate, mammal, elephant, large, gray, tusks, legs, trunk|circus, Africa, safari, endangered, friendly, pride, royal, dignified, longevity, powerful"
africanelephant_out1.png,"single grey elephant, old, large ears, two tusks, long trunk|soft, wisdom, intuitiveness, beauty of nature, conservation, herd, spirituality, wonder of the world"
africanelephant_out1.png,"large, gray, elephant, animal, wild animal, nature, trunk, ears, tusks|large animal in the wild, majestic beast, walking, has white tusks"
africanelephant_out1.png,"gray wrinkled skin, huge ears, long trunk, four legs, has tusks |blind men touching an elephant, need a model of one of these in 28 mm scale."
africanelephant_out1.png,"This is a rather large elephant with long white tusk, and really long nose.|I love how its ears are flared out, and it's such a beautiful animal."
africanelephant_out1.png,"LONG TRUNK, HUGE EARS, TWO TUSKS, FOUR LEGGED MAMMAL, HUGE|ENDANGERED SPECIES, IVORY TRINKETS, STOMPING, CIRCUS SHOWS, DUMBO, LOUD ROAR"
africanelephant_out1.png,"Elephant, African Elephant, Ivory Tusks, trunk, mammal, animal, four legs, quadruped |safari, poachers, Ivory, zoo animal, gray, circus, Dumbo, Water for Elephants"
africanelephant_out1.png,"Elephant, mammal, tusks, feet, large, India, animal, elephants, love, happiness|Elephant, zoo, rides, tusks, ears, feet, India, bellwood, circus, happy"
africanelephant_out1.png,"One long trunk, four long legs, two tusks, two wide ears, elephant.|Majestic, long memory, social, loving, mysterious, bristly. Rode one once when I was very young, didn't care for the experience."
africanelephant_out1.png,"Ears, Trunk, Tusks, grey, large, mammal, quadruped, intelligent, emotional, herbivore |African savanna, ivory trade, endangered species, intelligent species other than humans, social animals"
alligator_out1.png,"big jaws, many teeth, large, webbed feet, large tail, bumpy scales|danger, eats dogs, swamp, Louisiana, cowboy boots, Everglades, tasty, invades swimming pools"
alligator_out1.png,"organic, animal, metazoan, chordate, vertebrate, terapod, reptile, alligator, teeth, tale, legs, eyes |danger, Florida, endangered, sewers, New York, Everglades, shoes, purses, belts"
alligator_out1.png,"alligator, crocodile, amphibian, scaly, long, large mouth, sharp teeth, big tail |swamp water, Louisiana, Florida, scary, being bitten and dragged, heaviness"
alligator_out1.png,"gray gator, sharp teeth, long body, tail, short legs, tongue|large gator with his mouth open, scary, dangerous, walks slowly"
alligator_out1.png,"rough and scaly skin, rows of sharp teeth, long tail |big and scary, crocodile from Florida, eats small dogs, camouflage"
alligator_out1.png,"SCALY SKIN, LONG POWERFUL TAIL, LONG POWERFUL JAWS, SHARP TEETH|DEATH, WATER, SCARED, FRIGHTENED, LOUD SNARL, SNAPPING JAWS, DEAD ANTELOUPE"
alligator_out1.png,"alligator, crocodile, scales, reptile, sharp teeth, mouth, legs, tail, animal|swamps, rivers, green, Steve Irwin crocodile hunter, lizards, zoo animal, purses, leather"
